respid,cty,AsylumHome,IdeoScale,Female,Age,Employed,EISCED,IncomeDecile
R_cBm63uz4mQPRJ0F,Spain,2,3,0,58,1,2,2
R_00zOKobCkkCZcWN,Spain,-1,2,1,24,0,6,4
R_8eNn7JuFEBt9Ju5,Spain,0,1,1,26,0,7,4
R_3UBCN6zg5Op2Mpn,Spain,1,0,0,37,0,5,1
R_8qD4iRXG8L6Dpjv,Spain,0,5,0,43,0,3,1
R_0IEF1nFzNpndWbH,Spain,0,4,0,38,1,7,10
R_b9l6A93gX51PSsJ,Spain,1,0,0,39,1,2,6
R_3RjTLVK8wQ9QLGd,Spain,1,3,0,43,1,6,9
R_9TEB9ZXM1fsVv2l,Spain,-1,5,0,49,1,5,6
R_57loVK06NXl188J,Spain,2,7,1,33,1,1,3
R_8oYjMOFKtS8RpzL,Spain,2,5,1,55,1,7,9
R_cOOkoUD3SPLJu3b,Spain,-1,4,1,54,1,7,10
R_3BPCt1mqDrp5yxn,Spain,1,6,1,32,1,7,2
R_6oq9nn6OlL8TfBb,Spain,1,6,0,44,1,7,7
R_5jXAZWiFm1l7DV3,Spain,-1,5,1,46,0,1,1
R_8HUegfHUaSZLh4h,Spain,1,4,1,29,0,7,9
R_d6Dlk7kqnD6l6nz,Spain,-1,5,1,46,0,2,1
R_9ZxQdTU8LY88Otn,Spain,0,6,1,43,1,6,4
R_5hkJA5JGIt1giln,Spain,-1,1,1,38,1,3,5
R_2lVFoEjQu93WrtP,Spain,0,6,1,60,1,6,9
R_1FcGUsEjtKi2FUx,Spain,-2,5,1,45,1,1,2
R_0upVnGbkGy7ER8N,Spain,-1,10,0,67,0,1,1
R_cuosy8eCyjrfJT7,Spain,-1,3,1,43,0,2,1
R_3CNYlvW0SNvWHlz,Spain,-2,6,1,47,1,2,4
R_5cMHXYbiuR4qDad,Spain,0,6,0,40,1,7,10
R_3kt0LEYyZm5gIi9,Spain,-1,2,1,50,0,4,9
R_07VWvOFiJAcFEHz,Spain,1,3,1,45,1,7,4
R_6EW1og5eXOXuw2F,Spain,0,5,0,47,1,2,7
R_0CUlssGHR5C2SgZ,Spain,-1,5,1,32,1,6,4
R_4YFdiKdX6Gyp2Gp,Spain,1,4,0,25,1,3,2
R_8xmjiqwQx6T6hXn,Spain,-1,3,0,51,1,3,4
R_8oAUrbzK2jitSWF,Spain,0,5,1,51,1,6,7
R_6RuNSsCwh4STHX7,Spain,-1,6,1,46,1,5,9
R_6FgJhGPxeAxlgGh,Spain,1,0,1,44,1,5,4
R_3xQqZLY1V7E7Lz7,Spain,-2,5,0,26,0,2,1
R_b3MvIjwpk7TfRch,Spain,0,5,1,53,1,3,5
R_0UnYyXXoZOTSldH,Spain,1,5,0,26,1,1,3
R_1IggXofV3il6Ivj,Spain,1,2,1,29,0,5,3
R_eR32iWvYXySoAUB,Spain,2,3,1,26,1,7,8
R_d7ujNJHLt8i9aYt,Spain,2,1,0,34,1,7,1
R_1GmglPyE0QdB3db,Spain,0,4,0,42,1,2,3
R_1RNSeXWumGXg2Vv,Spain,0,1,1,28,0,5,3
R_eP26nOVfP3BbZLT,Spain,0,7,0,60,1,4,2
R_5hgCy99q3OuscYJ,Spain,1,2,0,50,0,3,9
R_bszisGXpxzLHnW5,Spain,-2,5,0,45,1,5,8
R_blUDaVxIoXq5vs9,Spain,0,3,1,32,1,6,7
R_1G1ttzo6cE7KtZH,Spain,0,2,1,46,1,7,9
R_1H2eorOH1kKUP53,Spain,1,5,1,51,0,7,6
R_0v9v8nhkSmLHtHL,Spain,2,0,1,32,1,5,4
R_5onioQl0qxnv9Pf,Spain,0,5,1,55,1,7,7
R_9AeGAGXJ6qgBRJj,Spain,0,7,1,37,1,6,9
R_eXqZAkwHx3iLFE9,Spain,1,5,1,29,1,2,1
R_b91JrtzY3J7bd89,Spain,0,5,1,29,1,5,1
R_2fa14ZugJETgAHX,Spain,0,0,1,28,0,6,2
R_73Pre4I0q4zHsgZ,Spain,1,2,1,38,0,2,9
R_7WzJMvMe650Ct13,Spain,-2,5,0,32,1,6,9
R_6lJcC4ilEFBwWMJ,Spain,1,0,1,52,1,5,5
R_37R1PRbKfIQltJP,Spain,0,7,1,33,1,6,10
R_2t2GNKMveDis0kJ,Spain,0,6,0,42,1,4,5
R_7UIbsHun4boyMkZ,Spain,0,2,1,30,1,4,9
R_8vsyPXDfyQl0eCF,Spain,-2,5,1,30,1,2,2
R_e4Hpq49syXgBB7D,Spain,0,5,1,43,0,3,7
R_863NDw5fG8IJiIt,Spain,0,5,1,30,1,6,3
R_dbDbvqISbkdWhsp,Spain,0,4,1,60,0,3,9
R_7ZL7yt0trCriwKx,Spain,-2,5,0,59,1,6,9
R_a3LJIiYush293HT,Spain,0,2,1,55,0,3,1
R_0dKootUjpLjTbEN,Spain,1,3,1,35,1,3,4
R_0k4X2PY6hjueHGZ,Spain,-2,5,0,43,1,7,5
R_5tg2cfSqS51LVkN,Spain,0,2,0,39,0,6,4
R_1StpCy0dQxXvbSd,Spain,-2,4,1,35,1,7,4
R_9YMHVmdmWxObHaB,Spain,0,5,0,40,1,7,6
R_4HBWp1GYkQBQ2Sp,Spain,-1,5,1,53,1,2,4
R_0VVndrAygyAX88J,Spain,-1,3,0,41,1,7,5
